ID,Hospital Name,Division,District,Area,Address,Facilities,Contact Details,Remark
0106,Fatema Memorial Hospital,Barisal,Bhola,Bhola,"Kalibari Road, Bhola","Pathological Tests -30%, Radiology & Imaging - 15% Discount obtainable in OPD services","Dr. Nasima Khanom, +880 1725 149 982, +880 1718 200 076",Cashless facilities not applicable
0105,Meghna Health Care Centre,Barisal,Bhola,Bhola,"Meghna Bhaban (2nd floor), Sadar Road (Bangla School More), Bhola","Pathological Tests - 30%, Radiology & Imaging - 15% Discount obtainable in OPD services","Dr. Nasima Khanom, +880 1725 149 982, +880 1718 200 076",Cashless facilities not applicable.
0136,Patharghata Saudia Probasi Clinic & Diagnostic Center,Barisal,Barguna,Barguna,"Hospital Road, Patharghata, Barguna","Pathological Tests -25%, Radiology & Imaging - 15%","Mr. Manirujjaman, +880 1799 444 770, manirjaman@yahoo.com",Cashless facilities are obtainable on IPD service
0078,Fear Health Clinic,Barisal,Pirojpur,Pirojpur,"Kamalpara Pirojpur Sadar Thana, Pirojpur","Pathological Tests -40%, Radiology & Imaging - 40% Discount obtainable in OPD services","Mr. Kamal Islam, +880 1712 886 700",Cashless facilities not applicable
0121,Green View Hospital,Barisal,Patuakhali,Patuakhali,"24, Aziz Bhaban, Kazipara Road Patuakhali","Pathological Tests -30%, Radiology & Imaging - 10% Discount obtainable in OPD services","Mr. Monirul Islam, +880 1712 895 502, greenviewhospital.pk@gmail.com",Cashless facilities not applicable
0100,Moumita Clinic & Diagnostic Centre,Barisal,Jhalokati,Jhalokati,"Bahar Road (Front of Upazila), Jhalokhati","Pathological Tests -25%, Radiology & Imaging - 25% Discount obtainable in OPD services","Mr Abul Kashem, +880 1712 396 049",facilities are not obtainable on IPD service
0116,Arif Memorial Hospital,Barisal,Barisal,Barisal,"Khadija Mansion, College Row, Barishal","Pathological Tests -25%, Radiology & Imaging -25%","Faijur Rahman / Moniruzzaman Kabir, +880 1733 351 606, arifmemorialhospital15@gmail.com",Cashless facilities are obtainable on IPD service
0026,"Islami Bank Hospital, (Barishal)",Barisal,Barisal,Barisal,"Chandmari Bandroad, Barishal.","Pathological Tests -35%, Radiology & Imaging -30% Discount obtainable in OPD services","01306172700, Tel: 0431-71036, 0431-72074, ibhbarisal@yahoo.com",Cashless facilities are obtainable on IPD service
0359,The United Hospital & Diagnostic Center,Chattogram,Brahmanbaria,Brahmanbaria,"Muktijoddha Complex, B.Baria","Pathological Tests - 30%, Radiology & Imaging - 20% Discount obtainable in OPD services","Anisur Rahman Sharif, 01711111700",Cashless facilities applicable
0436,Brahmanbaria Medical College Hospital Ltd.,Chattogram,Brahmanbaria,Brahmanbaria,"Comilla-Sylhet Highway, Ghatura, Brahmanbaria","Pathological Tests - 30%, Radiology & Imaging - 20% Discount obtainable in OPD services","Md. Asadullah Miah, 01733382346",Cashless facilities not obtainable on IPD service
